thid,tpid,ttid,tidp,tidn,tyearid,tstagesn,thaboro,tt1fhm,twalkatw,tcycatw,tdbmmode,thmmode,tppw,tcmode,tsdaddr,topurp,topurpi,tdpurp,tjpurpi,tshour,tehour,totimea,tunder5,thover5,tnhover5,tshop,twork,tbulknone,tbulkpc,tbulkscr,tbulkcom,tbulkshop,tbulkspo,tbulkwork,tbulkoth,tabtyoung,tabtnone,tpassn,tpktype,tbcychre,tcycshw,tociox,tocioxb,tosect,toaboro,tofarezn,toccz,tdciox,tdcioxb,tdaboro,tdfarezn,tdccz,todcioxba1,todcioxba2,tdur5,tlen,tspeed5,tdummy,tleavemon,tleavetue,tleavewed,tleavethu,tleavefri,tleavesat,tleavesun,toland,thiwt,tpiwt,thiwtwkd,tpiwtwkd,thiwtttwkd,tpiwtttwkd,thiwttuesthurs,tpiwttuesthurs
900003,800012,243932310301,-1,243932000000,24,5,30,1,2,2,Bus/tram,17,2,8,2,06 Home,06 Home,02 Education (inc escort education),02 Education (inc escort education),8,8,2,0,1,0,2,2,1,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,8,30,0,0,3,3,30,0,0,4,8,25,2.0,5,2,,,,,,,,1,732.5973347428642,725.2277881032364,1204.549106165227,1303.1847674642,1411.271067447964,1485.57058682717,1861.2281513,1951.2610395
900002,800006,241011510102,241011510101,241011510103,24,2,20,-1,2,2,Car driver,3,1,13,4,01 Usual/ other work,01 Usual/ other work,06 Other (inc Escort/ Worship),06 Other (inc Escort/ Worship),16,16,4,0,0,0,2,2,1,2,2,2,2,2,2,2,2,1,1,3,-1,-1,4,5,11,52,0,0,3,3,20,0,0,7,9,30,9.0,15,2,,,,,,,,3,650.0441747491577,723.394478821047,843.8243719463068,1027.805401841207,969.0313189313644,1133.790800358399,1301.6199004,1744.4403436
900002,800006,241011510101,-1,241011510102,24,1,20,1,2,2,Car driver,3,1,13,3,06 Home,06 Home,01 Usual/ other work,01 Usual/ other work,4,4,1,0,0,0,2,2,1,2,2,2,2,2,2,2,2,1,1,8,-1,-1,3,3,5,20,0,0,4,5,52,0,0,7,9,15,9.0,35,2,,,,,,,,1,650.0441747491577,723.394478821047,843.8243719463068,1027.805401841207,969.0313189313644,1133.790800358399,1301.6199004,1744.4403436
900002,800008,241011510301,-1,241011510302,24,3,20,1,2,2,Walk,13,2,10,3,06 Home,06 Home,01 Usual/ other work,01 Usual/ other work,13,13,3,0,0,0,2,2,1,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,5,20,0,0,3,3,20,0,0,4,8,15,1.0,5,2,,,,,,,,1,650.0441747491577,589.2985564138564,843.8243719463068,778.7360581214667,969.0313189313644,860.4826895991307,1301.6199004,1639.2657472
900002,800007,241011510204,241011510203,-1,24,1,20,-1,2,2,Car driver,3,1,13,1,04 Shopping and personal business,04 Shopping and personal business,06 Home,04 Shopping and personal business,17,18,4,0,0,0,2,2,2,2,2,2,1,2,2,2,2,1,1,7,-1,-1,3,3,5,20,0,0,3,3,20,0,0,4,8,20,4.0,10,2,,,,,,,,5,650.0441747491577,651.7464300600901,843.8243719463068,804.7909241819751,969.0313189313644,865.754835064204,1301.6199004,1181.4573358
900002,800007,241011510203,241011510202,241011510204,24,1,20,-1,2,2,Car driver,3,1,13,4,01 Usual/ other work,01 Usual/ other work,04 Shopping and personal business,04 Shopping and personal business,16,17,4,0,0,0,2,2,1,2,2,2,2,2,2,2,2,1,1,5,-1,-1,3,3,5,20,0,0,3,3,20,0,0,4,8,30,4.0,5,2,,,,,,,,2,650.0441747491577,651.7464300600901,843.8243719463068,804.7909241819751,969.0313189313644,865.754835064204,1301.6199004,1181.4573358
900002,800009,241011510402,241011510401,241011510403,24,1,20,-1,1,2,Walk,1,0,16,4,02 Education (inc escort education),02 Education (inc escort education),03 Leisure,03 Leisure,15,15,3,0,0,0,2,2,2,2,1,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,5,20,0,0,3,3,20,0,0,4,8,15,0.7,0,2,,,,,,,,4,650.0441747491577,589.2985564138564,843.8243719463068,778.7360581214667,969.0313189313644,860.4826895991307,1301.6199004,1639.2657472
900002,800009,241011510401,-1,241011510402,24,2,20,1,2,2,Car passenger,4,1,16,2,06 Home,06 Home,02 Education (inc escort education),02 Education (inc escort education),7,7,2,0,0,0,2,2,1,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,5,20,0,0,3,3,20,0,0,4,8,10,2.0,10,2,,,,,,,,1,650.0441747491577,589.2985564138564,843.8243719463068,778.7360581214667,969.0313189313644,860.4826895991307,1301.6199004,1639.2657472
900002,800008,241011510302,241011510301,-1,24,3,20,-1,2,2,Walk,13,2,10,1,01 Usual/ other work,01 Usual/ other work,06 Home,01 Usual/ other work,20,20,5,0,0,0,2,2,1,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,3,3,5,20,0,0,3,3,20,0,0,4,8,30,1.0,0,2,,,,,,,,12,650.0441747491577,589.2985564138564,843.8243719463068,778.7360581214667,969.0313189313644,860.4826895991307,1301.6199004,1639.2657472
900002,800007,241011510202,241011510201,241011510203,24,1,20,-1,2,2,Car driver,3,1,13,3,02 Education (inc escort education),02 Education (inc escort education),01 Usual/ other work,01 Usual/ other work,7,8,2,0,0,0,2,2,1,2,2,2,2,2,2,2,2,1,1,8,-1,-1,3,3,5,20,0,0,3,3,20,0,0,4,8,50,8.0,10,2,,,,,,,,4,650.0441747491577,651.7464300600901,843.8243719463068,804.7909241819751,969.0313189313644,865.754835064204,1301.6199004,1181.4573358
