HOUSEID,PERSONID,FRSTHM,OUTOFTWN,ONTD_P1,ONTD_P2,ONTD_P3,ONTD_P4,ONTD_P5,ONTD_P6,ONTD_P7,ONTD_P8,ONTD_P9,ONTD_P10,ONTD_P11,ONTD_P12,ONTD_P13,ONTD_P14,ONTD_P15,TDCASEID,HH_HISP,HH_RACE,DRIVER,R_SEX,WORKER,DRVRCNT,HHFAMINC,HHSIZE,HHVEHCNT,NUMADLT,FLAG100,LIF_CYC,TRIPPURP,AWAYHOME,CDIVMSAR,CENSUS_D,CENSUS_R,DROP_PRK,DRVR_FLG,EDUC,ENDTIME,HH_ONTD,HHMEMDRV,HHRESP,HHSTATE,HHSTFIPS,INTSTATE,MSACAT,MSASIZE,NONHHCNT,NUMONTRP,PAYTOLL,PRMACT,PROXY,PSGR_FLG,R_AGE,RAIL,STRTTIME,TRACC1,TRACC2,TRACC3,TRACC4,TRACC5,TRACCTM,TRAVDAY,TREGR1,TREGR2,TREGR3,TREGR4,TREGR5,TREGRTM,TRPACCMP,TRPHHACC,TRPHHVEH,TRPTRANS,TRVL_MIN,TRVLCMIN,TRWAITTM,URBAN,URBANSIZE,URBRUR,USEINTST,USEPUBTR,VEHID,WHODROVE,WHYFROM,WHYTO,WHYTRP1S,WRKCOUNT,DWELTIME,WHYTRP90,TDTRPNUM,TDWKND,TDAYDATE,TRPMILES,WTTRDFIN,VMT_MILE,PUBTRANS,HOMEOWN,HOMETYPE,HBHUR,HTRESDN,HTHTNRNT,HTPPOPDN,HTEEMPDN,HBRESDN,HBHTNRNT,HBPPOPDN,GASPRICE,VEHTYPE,HH_CBSA,HHC_MSA
28523763,2,1,-1,2,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,285237630202,2,1,1,1,1,2,16,4,2,2,1,6,NHB,-1,54,5,3,-1,1,5,800,1,-1,1,GA,13,2,4,6,0,1,-1,1,1,2,40,2,748,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,0,0,1,1,12,12,-1,4,6,2,1,2,1,2,73,11,10,1,555,1,2,2,200810,4.0,301676.44117,4.0,2,1,1,TC,50,20,50,25,50,20,50,322.3,1,XXXXX,-1
28523763,2,1,-1,2,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,285237630203,2,1,1,1,1,2,16,4,2,2,1,6,HBW,-1,54,5,3,-1,1,5,1740,1,-1,1,GA,13,2,4,6,0,1,-1,1,1,2,40,2,1715,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,0,0,1,1,25,25,-1,4,6,2,1,2,1,2,11,1,1,1,-9,1,3,2,200810,14.0,301676.44117,14.0,2,1,1,TC,50,20,50,25,50,20,50,322.3,1,XXXXX,-1
28523763,3,1,-1,1,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,285237630301,2,1,-1,2,-1,2,16,4,2,2,1,6,HBO,-1,54,5,3,-1,2,-1,805,2,1,1,GA,13,-1,4,6,0,2,-1,-1,2,1,7,2,803,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,1,1,1,1,2,2,-1,4,6,2,2,2,2,1,1,21,20,1,405,5,1,2,200810,1.0,264484.31717,-1.0,2,1,1,TC,50,20,50,25,50,20,50,322.3,1,XXXXX,-1
28523763,3,1,-1,1,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,285237630303,2,1,-1,2,-1,2,16,4,2,2,1,6,HBO,-1,54,5,3,-1,2,-1,1453,2,1,1,GA,13,-1,4,6,0,2,-1,-1,2,1,7,2,1450,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,1,1,1,1,3,3,-1,4,6,2,2,2,2,1,21,1,1,1,-9,5,3,2,200810,1.0,264484.31717,-1.0,2,1,1,TC,50,20,50,25,50,20,50,322.3,1,XXXXX,-1
28523763,4,1,-1,2,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,285237630401,2,1,-1,1,-1,2,16,4,2,2,1,6,HBO,-1,54,5,3,-1,2,-1,746,2,1,1,GA,13,1,4,6,0,2,2,-1,2,1,11,2,730,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,1,1,1,1,16,16,-1,4,6,2,1,2,1,2,1,21,20,1,449,5,1,2,200810,14.0,201415.43187,-1.0,2,1,1,TC,50,20,50,25,50,20,50,322.3,1,XXXXX,-1
28523763,4,1,-1,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,285237630402,2,1,-1,1,-1,2,16,4,2,2,1,6,HBO,-1,54,5,3,-1,-1,-1,1545,1,-1,1,GA,13,-1,4,6,-1,1,-1,-1,2,-1,11,2,1515,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,2,11,30,30,-1,4,6,2,1,2,-1,-1,21,1,1,1,-9,5,2,2,200810,14.0,201415.43187,-1.0,2,1,1,TC,50,20,50,25,50,20,50,322.3,-1,XXXXX,-1
55845902,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,558459020101,2,1,2,2,2,1,17,2,2,2,1,10,HBO,-1,74,7,3,-1,2,2,920,2,1,1,TX,48,-1,4,6,0,2,-1,6,1,1,77,2,900,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,4,20,20,-1,4,6,2,2,2,1,2,1,60,60,0,165,4,1,1,200807,6.0,21240.147323,-1.0,2,1,1,TC,50,20,50,25,50,30,50,385.7,4,XXXXX,-1
55845902,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,558459020102,2,1,2,2,2,1,17,2,2,2,1,10,HBO,-1,74,7,3,-1,2,2,1215,2,1,1,TX,48,-1,4,6,0,2,-1,6,1,1,77,2,1205,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,4,10,10,-1,4,6,2,2,2,1,2,60,1,1,0,-9,7,2,1,200807,6.0,21240.147323,-1.0,2,1,1,TC,50,20,50,25,50,30,50,385.7,4,XXXXX,-1
55845902,2,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,558459020201,2,1,1,1,2,1,17,2,2,2,1,10,HBO,-1,74,7,3,-1,1,2,920,2,1,1,TX,48,-1,4,6,0,2,-1,6,1,2,79,2,900,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,4,20,20,-1,4,6,2,2,2,1,2,1,60,60,0,160,4,1,1,200807,6.0,21719.885449,6.0,2,1,1,TC,50,20,50,25,50,30,50,385.7,4,XXXXX,-1
55845902,2,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,558459020202,2,1,1,1,2,1,17,2,2,2,1,10,HBO,-1,74,7,3,-1,1,2,1215,2,1,1,TX,48,-1,4,6,0,2,-1,6,1,2,79,2,1200,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,4,15,15,-1,4,6,2,2,2,1,2,60,1,1,0,-9,4,2,1,200807,6.0,21719.885449,6.0,2,1,1,TC,50,20,50,25,50,30,50,385.7,4,XXXXX,-1
