tripid,hhid,persid,tripno,starthour,startime,arrhour,arrtime,origplace1,origplace2,origpurp1,origpurp2,origlga,destplace1,destplace2,destpurp1,destpurp2,destlga,triptime,travtime,cumdist,linkmode,trippurp,duration,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,time1,time2,time3,time4,time5,time6,time7,time8,time9,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,trippoststratweight,trippoststratweight_GROUP_1,trippoststratweight_GROUP_2,trippoststratweight_GROUP_3,trippoststratweight_GROUP_4,trippoststratweight_GROUP_5,trippoststratweight_GROUP_6,trippoststratweight_GROUP_7,trippoststratweight_GROUP_8,trippoststratweight_GROUP_9,trippoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType
Y24H5750403P01T01,Y24H5750403,Y24H5750403P01,1,5,332,5,349,Accommodation,Survey Home,At Home,Go home,Whittlesea (C),Place of work,My Workplace,Work Related,Own Workplace,Hume (C),17,17,19.93495,Vehicle Driver,Work Related,37,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,17,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,19.93495,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,309.990096313,371.286878657,417.545578322,301.501586134,0.0,333.921527113,316.167749019,321.000609757,371.799701754,304.507717649,339.921925009,MELB - Outer,Greater Melbourne,Weekday
Y24H5750403P01T02,Y24H5750403,Y24H5750403P01,2,6,386,7,426,Place of work,My Workplace,Work Related,Own Workplace,Hume (C),Place of work,Another workplace or site,Work Related,Employers Business,Wyndham (C),40,40,35.48229,Vehicle Driver,Work Related,514,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,40,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,35.48229,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,309.990096313,371.286878657,417.545578322,301.501586134,0.0,333.921527113,316.167749019,321.000609757,371.799701754,304.507717649,339.921925009,MELB - Outer,Greater Melbourne,Weekday
Y24H5750403P01T03,Y24H5750403,Y24H5750403P01,3,15,940,16,1003,Place of work,Another workplace or site,Work Related,Employers Business,Wyndham (C),Place of work,My Workplace,Work Related,Own Workplace,Hume (C),63,63,35.48229,Vehicle Driver,Work Related,2,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,63,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,35.48229,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,309.990096313,371.286878657,417.545578322,301.501586134,0.0,333.921527113,316.167749019,321.000609757,371.799701754,304.507717649,339.921925009,MELB - Outer,Greater Melbourne,Weekday
Y24H5750403P01T04,Y24H5750403,Y24H5750403P01,4,16,1005,17,1042,Place of work,My Workplace,Work Related,Own Workplace,Hume (C),Retail venue,Shopping Centre,Social,Ate or drank,Hume (C),37,37,11.44491,Vehicle Driver,Social,230,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,37,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.44491,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,309.990096313,371.286878657,417.545578322,301.501586134,0.0,333.921527113,316.167749019,321.000609757,371.799701754,304.507717649,339.921925009,MELB - Outer,Greater Melbourne,Weekday
Y24H5750403P01T05,Y24H5750403,Y24H5750403P01,5,21,1272,21,1287,Retail venue,Shopping Centre,Social,Ate or drank,Hume (C),Accommodation,Survey Home,At Home,Go home,Whittlesea (C),15,15,9.38934,Vehicle Driver,Social,999,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.38934,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,309.990096313,371.286878657,417.545578322,301.501586134,0.0,333.921527113,316.167749019,321.000609757,371.799701754,304.507717649,339.921925009,MELB - Outer,Greater Melbourne,Weekday
Y24H5750403P02T01,Y24H5750403,Y24H5750403P02,1,8,495,8,515,Accommodation,Survey Home,At Home,Go home,Whittlesea (C),Place of education,Primary School,Accompany Someone,Accompanied someone,Hume (C),20,13,2.06148,Public Bus,Accompany Someone,35,Walking,Public Bus,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,3,7,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.14294,1.50497,0.41357,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,544.362991856,639.835045685,862.421883469,565.025418543,0.0,557.854643171,613.518699759,600.798230014,616.858347016,517.677652213,550.352040292,MELB - Outer,Greater Melbourne,Weekday
Y24H5750403P02T02,Y24H5750403,Y24H5750403P02,2,9,550,9,567,Place of education,Primary School,Accompany Someone,Accompanied someone,Hume (C),Accommodation,Survey Home,At Home,Go home,Whittlesea (C),17,13,2.03175,Public Bus,Accompany Someone,999,Walking,Public Bus,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6,3,4,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.41357,1.49543,0.12275,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,544.362991856,639.835045685,862.421883469,565.025418543,0.0,557.854643171,613.518699759,600.798230014,616.858347016,517.677652213,550.352040292,MELB - Outer,Greater Melbourne,Weekday
Y24H5750403P03T01,Y24H5750403,Y24H5750403P03,1,15,954,16,965,Accommodation,Survey Home,At Home,Go home,Whittlesea (C),Place of work,My Workplace,Work Related,Own Workplace,Hume (C),11,11,5.64398,Vehicle Driver,Work Related,352,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5.64398,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,449.155633646,472.113528973,615.39423275,440.973530083,0.0,579.8443807,477.885155896,647.399267172,419.948468499,510.728569169,477.986104371,MELB - Outer,Greater Melbourne,Weekday
Y24H5750403P03T02,Y24H5750403,Y24H5750403P03,2,21,1317,22,1322,Place of work,My Workplace,Work Related,Own Workplace,Hume (C),Accommodation,Survey Home,At Home,Go home,Whittlesea (C),5,5,5.64398,Vehicle Driver,Work Related,999,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5.64398,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,449.155633646,472.113528973,615.39423275,440.973530083,0.0,579.8443807,477.885155896,647.399267172,419.948468499,510.728569169,477.986104371,MELB - Outer,Greater Melbourne,Weekday
Y24H5750403P04T01,Y24H5750403,Y24H5750403P04,1,7,440,9,540,Accommodation,Survey Home,At Home,Go home,Whittlesea (C),Place of education,Secondary School,Education,At school,Hume (C),100,79,10.56782,Public Bus,Education,380,Walking,Public Bus,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4,45,30,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.14294,8.8107,1.61418,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,341.795395816,368.050056214,509.081363832,332.428875611,0.0,379.22767211,368.178652853,357.121896285,364.667314201,425.811968992,357.624133608,MELB - Outer,Greater Melbourne,Weekday
