hhid,surveyperiod,hhsize,dwelltype,owndwell,totalbikes,totalvehs,travmonth,travdow,homelga,youngestgroup_5,aveagegroup_5,oldestgroup_5,hhinc_group,hhpoststratweight,hhpoststratweight_GROUP_1,hhpoststratweight_GROUP_2,hhpoststratweight_GROUP_3,hhpoststratweight_GROUP_4,hhpoststratweight_GROUP_5,hhpoststratweight_GROUP_6,hhpoststratweight_GROUP_7,hhpoststratweight_GROUP_8,hhpoststratweight_GROUP_9,hhpoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType
Y24H5750403,2023-24,5,"Unit, Flat or Apartment",Being Rented,0,2,August,Wednesday,Whittlesea (C),10->14,25->29,40->44,"$1,500-$1,749 ($78,000-$90,999)",333.6627772,367.5933847,518.1460167,332.1327137,0.0,379.1694419,361.1122316,339.6551936,367.726918,353.4320885,361.3921641,MELB - Outer,Greater Melbourne,Weekday
Y24H5780407,2023-24,2,Separate House,Being Purchased,2,0,August,Sunday,Merri-bek (C),25->29,25->29,25->29,"$2,500-$2,999 ($130,000-$155,999)",319.4961593,395.0039836,313.1324004,361.1166559,326.1765845,385.6371896,449.7068082,0.0,304.5167751,348.5373418,303.072926,MELB - Inner,Greater Melbourne,Weekend
Y24H5930312,2023-24,2,Separate House,Fully Owned,0,0,December,Friday,Moonee Valley (C),60->64,60->64,60->64,"$1,750-$1,999 ($91,000-$103,999)",801.1061566,718.9213232,781.2808086,841.781167,982.0031607,0.0,867.194046,834.5059163,922.5617506,1234.448709,680.1596143,MELB - Inner,Greater Melbourne,Weekday
Y24H6080314,2023-24,2,Terrace or Townhouse,Being Purchased,3,3,March,Sunday,Hobsons Bay (C),30->34,30->34,35->39,"$6,000-$7,999 ($312,000-$415,999)",591.9006904,600.0796777,593.0917612,612.6149618,702.3923176,553.4775318,709.844995,781.3293214,586.5967859,798.9266535,0.0,MELB - Inner,Greater Melbourne,Weekend
