HHID,HHSIZE,BIKES,HHVEH,EBIKES,ESCOOTER,DWELLTYPE,SURVEYWEEK,STRATA_LGA,TRAVDATE,TRAVMONTH,TRAVYEAR,TRAVDOW,HOME_SA1_2021,HHWGT_21
61082,3,3,2,,,Separate house,65,8,23,8,2019,5,30901122630,159.8200836820084
63960,2,0,1,,,Separate house,74,5,21,11,2019,4,31003128721,54.25560538116592
85011,2,1,1,0,0,Separate house,9,2,16,10,2020,5,31602142216,63.92287581699346
98702,2,1,1,0,0,"Semi-detached house, terrace house, townhouse, etc.",21,1,5,3,2021,5,31605143505,30.4327868852459
