year,region_code,region_name,lat,lon
2018,0003,Appingedam,53.31713438899772,6.85152730867485
2018,0005,Bedum,53.29429235787314,6.596512695141306
2018,0009,Ten Boer,53.2777286325581,6.6897676933080055
2018,0010,Delfzijl,53.32085262448692,6.92787850824761
2018,0014,Groningen,53.2233509469037,6.580388258262508
2018,0015,Grootegast,53.20939086649285,6.275212867268439
2018,0017,Haren,53.15536058077683,6.63163100195836
2018,0022,Leek,53.161341436838974,6.366911506828346
2018,0024,Loppersum,53.34013195097458,6.727681190581734
2018,0025,Marum,53.149006025508406,6.275737910394611
2018,0034,Almere,52.36664686670517,5.246901740224939
2018,0037,Stadskanaal,53.00177408952842,7.0086340188873635
2018,0047,Veendam,53.09019798281719,6.879474384200351
2018,0050,Zeewolde,52.34668043507816,5.450818411590589
2018,0053,Winsum,53.330850040078495,6.5095550816902
2018,0056,Zuidhorn,53.27333415121475,6.373682812772655
2018,0058,Dongeradeel,53.35978034739,6.034330573572114
2018,0059,Achtkarspelen,53.21602722776452,6.142739052373614
2018,0060,Ameland,53.450217804827375,5.752384284455347
2018,0072,Harlingen,53.176146631803825,5.451700519054351
2018,0074,Heerenveen,52.99743347385612,5.978497264086156
2018,0079,Kollumerland en Nieuwkruisland,53.297827961326476,6.172652498354543
2018,0080,Leeuwarden,53.170633871071836,5.795325398559217
2018,0085,Ooststellingwerf,52.98173181618572,6.28320582832571
2018,0086,Opsterland,53.04965255415636,6.115060406805478
2018,0088,Schiermonnikoog,53.49226299954985,6.227803599627472
2018,0090,Smallingerland,53.11382530262409,6.038889986821551
2018,0093,Terschelling,53.40001967146847,5.334306844175797
2018,0096,Vlieland,53.26120371948219,4.9673079541724325
2018,0098,Weststellingwerf,52.875444033231474,6.0181924597457455
2018,0106,Assen,52.99967696305757,6.552219414961517
2018,0109,Coevorden,52.74058931107805,6.736683315116932
2018,0114,Emmen,52.75010527719904,6.962394194839936
2018,0118,Hoogeveen,52.72331834534336,6.514032360649108
2018,0119,Meppel,52.71562467774819,6.193120985756454
2018,0141,Almelo,52.348656456367024,6.659977319681502
2018,0147,Borne,52.311910398742555,6.744028161386412
2018,0148,Dalfsen,52.51489335235268,6.275028810687802
2018,0150,Deventer,52.26832041809823,6.235373927621505
2018,0153,Enschede,52.22094163360802,6.876813929672392
2018,0158,Haaksbergen,52.1554895013848,6.756801169232682
2018,0160,Hardenberg,52.585292772745234,6.574021086836852
2018,0163,Hellendoorn,52.38714585644713,6.450423751663612
2018,0164,Hengelo,52.255577063348206,6.779637804037063
2018,0166,Kampen,52.553706366068425,5.93419878459708
2018,0168,Losser,52.302231370753645,7.0019086908465065
2018,0171,Noordoostpolder,52.7126425924728,5.76641356655677
