region_code,region_name,lat,lon
0003,Appingedam,53.316801083107435,6.85038341637752
0005,Bedum,53.29429235787314,6.596512695141306
0009,Ten Boer,53.2777286325581,6.6897676933080055
0010,Delfzijl,53.32080140364344,6.927265195388785
0014,Groningen,53.217912278540574,6.620960223877306
0015,Grootegast,53.20939086649285,6.275212867268439
0017,Haren,53.15536058077683,6.63163100195836
0022,Leek,53.161341436838974,6.366911506828346
0024,Loppersum,53.34021844265474,6.728632019137355
0025,Marum,53.149006025508406,6.275737910394611
0034,Almere,52.36706007448888,5.24665342734578
0037,Stadskanaal,53.00252938627694,7.009394523006156
0047,Veendam,53.08909364725374,6.880541519708922
0050,Zeewolde,52.34603620702348,5.4511249835763875
0053,Winsum,53.330850040078495,6.5095550816902
0056,Zuidhorn,53.27333415121475,6.373682812772655
0058,Dongeradeel,53.35978034739,6.034330573572114
0059,Achtkarspelen,53.21707104313513,6.142501742461454
0060,Ameland,53.44998034890074,5.74152914165415
0072,Harlingen,53.17588178754518,5.450635197817697
0074,Heerenveen,52.99648224415257,5.978254309346665
0079,Kollumerland en Nieuwkruisland,53.297827961326476,6.172652498354543
0080,Leeuwarden,53.170650571738115,5.796837773170168
0085,Ooststellingwerf,52.98235862584508,6.283339698956722
0086,Opsterland,53.04929523299442,6.112815591774103
0088,Schiermonnikoog,53.49179003083068,6.22854509239174
0090,Smallingerland,53.11373762721806,6.040644325929796
0093,Terschelling,53.39887965582454,5.327986854880014
0096,Vlieland,53.256692488647744,4.96924988077033
0098,Weststellingwerf,52.875609383872145,6.0175212360908406
0106,Assen,53.00188662280982,6.55166946897701
0109,Coevorden,52.740638354165355,6.735910991412243
0114,Emmen,52.749753673727824,6.961892935310171
0118,Hoogeveen,52.72326225475118,6.513999025001852
0119,Meppel,52.71496017006764,6.195102474109376
0141,Almelo,52.347073761661306,6.66027148874972
0147,Borne,52.31166949797971,6.744822512657615
0148,Dalfsen,52.51472863478382,6.276537471746335
0150,Deventer,52.26820205430631,6.235964008223019
0153,Enschede,52.22095818546854,6.877638294224465
0158,Haaksbergen,52.15532760493623,6.756018053447607
0160,Hardenberg,52.58531481323955,6.573571528946168
0163,Hellendoorn,52.38702054019786,6.4507042805965105
0164,Hengelo (O.),52.25477818127692,6.777804284543562
0166,Kampen,52.555588211660236,5.932156139530785
0168,Losser,52.30306661463818,7.002590532822854
0171,Noordoostpolder,52.71309836536411,5.767622995576814
0173,Oldenzaal,52.30805756892565,6.911733272234209
0175,Ommen,52.51586436634455,6.434282699394797
0177,Raalte,52.38761626841801,6.279230256516213
0180,Staphorst,52.6334239665142,6.206996001138548
0183,Tubbergen,52.41082285120189,6.7772724623275895
0184,Urk,52.6655627026561,5.624219760613311
0189,Wierden,52.344718467846306,6.559980607291523
0193,Zwolle,52.518839511224854,6.119329678235374
0197,Aalten,51.92145720512072,6.560752855095041
0200,Apeldoorn,52.18930158188878,5.921190241684941
0202,Arnhem,52.000954105297886,5.892951070418939
0203,Barneveld,52.16850523922946,5.640444424028053
0209,Beuningen,51.86248759994542,5.740202727126549
0213,Brummen,52.10855246193812,6.118038181773892
0214,Buren,51.93852220324715,5.403423948304336
0216,Culemborg,51.945989701110285,5.20833456383455
0221,Doesburg,52.020049413000976,6.14728076445082
0222,Doetinchem,51.960548154163526,6.287086344421813
0225,Druten,51.8740898741161,5.617939802664031
0226,Duiven,51.94663563701236,6.018137591850689
0228,Ede,52.076178422329676,5.727330731118496
0230,Elburg,52.41242440691437,5.84959632225978
0232,Epe,52.32563385948442,5.9552696850190685
0233,Ermelo,52.28829097371751,5.668201799066069
0236,Geldermalsen,51.886752918394365,5.221528122541126
0243,Harderwijk,52.34042854228509,5.654754177460429
0244,Hattem,52.47522029862182,6.05236292561721
0246,Heerde,52.40641240105454,6.051320313690832
0252,Heumen,51.77780027126915,5.818747815793751
0262,Lochem,52.17918891405545,6.348588998325607
0263,Maasdriel,51.77592804378156,5.298914522503545
0267,Nijkerk,52.212102712649276,5.4848889065497035
0268,Nijmegen,51.839391909402934,5.838167964593777
0269,Oldebroek,52.45645050485674,5.937932877042192
0273,Putten,52.24343023747323,5.585102528376528
0274,Renkum,51.99001155525945,5.784138778992137
