StageID	TripID	DayID	IndividualID	HouseholdID	PSUID	VehicleID	IndTicketID	PersNo	TravDay	JourSeq	StageSeq	StageDistance	StageDistance_B01ID	StageTime	StageTime_B01ID	StageMode_B03ID	StageMode_B04ID	StageMode_B11ID	StageShortWalk_B01ID	NumBoardings	NumBoardings_B01ID	NumParty	NumParty_B01ID	NumPartyChild	NumPartyChild_B01ID	NumPartyAdult	NumPartyAdult_B01ID	StageVehicle	StageVehicle_B01ID	StageOccupant_B01ID	TicketNumber	TicketType_B01ID	StageFareCost	StageFareCost_B01ID	ShortWalkDay_B01ID	StagePassCost	StagePassCost_B01ID	StageCost	StageCost_B01ID	StageMain_B01ID	SSXSC	STTXSC	SD	WhereParked_B01ID	SurveyYear
500114	600112	700036	800007	2016004999	2016000514			2	2	1	1	23.0	7	105	8	3	2	3	2		-9	1	1		-9		-9		-9	-9	-9	-9		-9	1		-9		-9	1	1	105	23.0	-10	2016
500103	600101	700033	800006	2016004999	2016000514	2016006272		1	6	3	1	5.0	5	10	3	5	3	5	2		-9	2	2		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	10	5.0	-10	2016
500107	600105	700034	800006	2016004999	2016000514	2016006272		1	7	2	1	0.5	1	5	2	5	3	5	2		-9	2	2		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	5	0.5	-10	2016
500130	600128	700039	800007	2016004999	2016000514			2	7	6	1	7.0	5	30	5	3	2	3	2		-9	1	1		-9		-9		-9	-9	-9	-9		-9	1		-9		-9	1	1	30	7.0	-10	2016
500084	600083	700029	800006	2016004999	2016000514	2016006272		1	2	4	1	7.9	5	17	4	5	3	5	2		-9	1	1		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	17	7.9	-10	2016
500138	600132	700041	800008	2024002100	2024000309	2024002738		1	2	2	3	2.5	3	15	4	7	4	6	2		-9	2	2		-9		-9	1	1	4	-9	-9		-9	1		-9		-9	2	1	15	2.5	-10	2024
500134	600131	700041	800008	2024002100	2024000309			1	2	1	2	13.0	6	30	5	23	11	17	2	1	1	2	2		-9		-9		-9	-9	-9	3	3.85	12	1	0.0	1	3.85	12	1	1	30	13.0	-10	2024
500037	600037	700015	800003	2010002833	2010000217	2010003460		1	3	2	1	4.0	4	12	3	7	4	6	2		-9	2	2		-9		-9	1	1	4	-9	-9		-9	-10		-9		-9	1	1	12	4.0	-10	2010
500118	600116	700037	800007	2016004999	2016000514	2016006272		2	3	3	1	0.8	1	7	2	5	3	5	2		-9	3	3		-9		-9	1	1	1	-9	-9		-9	1		-9		-9	1	1	7	0.8	-10	2016
500139	600133	700042	800008	2024002100	2024000309	2024002738		1	3	1	1	0.75	1	6	2	7	4	6	2		-9	2	2		-9		-9	1	1	4	-9	-9		-9	1		-9		-9	1	1	6	0.75	-10	2024
