TripID	DayID	IndividualID	HouseholdID	PSUID	PersNo	TravDay	JourSeq	HowComp_B01ID	SeriesCall_B01ID	ShortWalkTrip_B01ID	NumStages	NumStages_B01ID	MainMode_B03ID	MainMode_B04ID	MainMode_B11ID	TripPurpFrom_B01ID	TripPurpTo_B01ID	TripPurpose_B01ID	TripPurpose_B02ID	TripPurpose_B04ID	TripStartHours	TripStartMinutes	TripStart	TripStart_B01ID	TripStart_B02ID	TripEndHours	TripEndMinutes	TripEnd	TripEnd_B01ID	TripEnd_B02ID	TripDisIncSW	TripDisIncSW_B01ID	TripDisExSW	TripDisExSW_B01ID	TripTotalTime	TripTotalTime_B01ID	TripTravTime	TripTravTime_B01ID	TripOrigGOR_B02ID	TripDestGOR_B02ID	JJXSC	JOTXSC	JTTXSC	JD	W5	W5xHH	SurveyYear
600061	700025	800005	900004	2011000058	1	5	2	2	2	2	1	1	2	1	2	15	23	17	14	8	11	45	705	12	23	12	10	730	13	24	1.0	2	1.0	2	25	4	25	4	8	8	1	25	25	1.0	3.79760730382218	1.0	2011
600107	700034	800006	900005	2016000514	1	7	4	2	2	2	1	1	5	3	5	10	23	10	8	7	18	23	1103	19	40	18	33	1113	19	41	5.4	5	5.4	5	10	3	10	3	2	2	1	10	10	5.4	0.89837274935743	1.09369682184992	2016
600060	700025	800005	900004	2011000058	1	5	1	2	2	2	1	1	2	1	2	23	15	17	14	8	10	0	600	11	20	10	30	630	11	21	1.0	2	1.0	2	30	5	30	5	8	8	1	30	30	1.0	3.79760730382218	1.0	2011
600115	700037	800007	900005	2016000514	2	3	2	2	2	2	1	1	7	4	6	10	8	9	7	6	12	41	761	13	25	12	43	763	13	25	0.25	1	0.25	1	2	1	2	1	2	2	1	2	2	0.25	0.8536031478694	1.03919342011833	2016
600068	700028	800006	900005	2016000514	1	1	3	2	2	2	1	1	5	3	5	23	5	6	5	4	15	15	915	16	30	15	19	919	16	30	1.5	2	1.5	2	4	2	4	2	2	2	1	4	4	1.5	0.82140930778046	1.0	2016
600010	700005	800001	900001	2003000111	1	5	2	2	2	2	1	1	22	10	16	1	23	1	1	1	16	30	990	17	33	17	5	1025	18	35	9.0	5	9.0	5	35	5	30	5	7	7	1	35	30	9.0	1.54388928413391	1.08788137556525	2003
600127	700039	800007	900005	2016000514	2	7	5	2	2	2	1	1	3	2	3	23	15	16	13	7				-8	-8				-8	-8	7.0	5	7.0	5	30	5	30	5	2	2	1	30	30	7.0	0.82140930778046	1.0	2016
600002	700001	800001	900001	2003000111	1	1	2	2	2	2	1	1	22	10	16	1	23	1	1	1	16	30	990	17	33	17	10	1030	18	35	9.0	5	9.0	5	40	5	32	5	7	7	1	40	32	9.0	1.41917061805725	1.0	2003
600015	700007	800002	900002	2005000292	1	1	3	2	2	2	1	1	5	3	5	6	23	7	7	6	14	15	855	15	28	14	25	865	15	28	2.0	3	2.0	3	10	3	10	3	11	11	1	10	10	2.0	0.89656347036362	1.0	2005
600065	700027	800005	900004	2011000058	1	7	2	2	2	2	1	1	2	1	2	9	23	11	9	7	13	30	810	14	27	14	15	855	15	28	2.0	3	2.0	3	45	6	45	6	8	8	1	45	45	2.0	4.22808603052732	1.11335525036301	2011
