HOUSEID,PERSONID,R_AGE,EDUC,R_HISP,R_RELAT,R_SEX,R_RACE,PRMACT,PAYPROF,GT1JBLWK,WRK_HOME,WKFTPT,WRKTRANS,LSTTRDAY17,OCCAT,SCHTYP,NWALKTRP,WALK4EX,NBIKETRP,BIKE4EX,BIKESHARE,PTUSED,MCUSED,CARSHARE,RIDESHARE,CARRODE,TIMETOWK,NOCONG,PUBTIME,WRKTIME,WKRMHM,FLEXTIME,WKFMHMXX,SCHTRN1,SCHTRN2,DELIVER,MEDCOND,MEDCOND6,HEALTH,PHYACT,VPACT,LPACT,BORNINUS,YRTOUS,YEARMILE,PROXY,WHOPROXY,USEPUBTR,SAMEPLC,W_NONE,W_CANE,W_WLKR,W_WHCANE,W_DOG,W_CRUTCH,W_SCOOTR,W_CHAIR,W_MTRCHR,WORKER,DIARY,OUTCNTRY,FRSTHM17,CNTTDTR,GCDWORK,WKSTFIPS,DRIVER,OUTOFTWN,DISTTOWK17,DISTTOSC17,R_AGE_IMP,R_SEX_IMP,ALT_16,ALT_23,ALT_45,WALK_DEF,WALK_GKQ,BIKE_DFR,BIKE_GKP,CONDTRAV,CONDRIDE,CONDNIGH,CONDRIVE,CONDPUB,CONDSPEC,CONDTAX,TRAVDAY,HOMEOWN,HHSIZE,HHVEHCNT,HHFAMINC,DRVRCNT,HHSTATE,HHSTFIPS,NUMADLT,WRKCOUNT,TDAYDATE,HHRESP,LIF_CYC,MSACAT,MSASIZE,RAIL,URBAN,URBANSIZE,URBRUR,CENSUS_D,CENSUS_R,CDIVMSAR,HH_RACE,HH_HISP,HH_CBSA,SMPLSRCE,WTPERFIN,HBHUR,HTHTNRNT,HTPPOPDN,HTRESDN,HTEEMPDN,HBHTNRNT,HBPPOPDN,HBRESDN
30056209,1,47,5,2,1,1,1,1,-1,2,2,1,3,-1,4,-1,5,5,0,-1,-1,0,-1,0,0,1,75,45,-1,07:30 AM,2,2,-1,-1,-1,7,2,-1,2,2,-1,5,1,-1,-88,2,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,2,25.1999999999998,6,1,2,28.6899999999996,-9.0,47,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,4,3,7,4,CA,6,4,2,201610,1,8,2,4,2,1,4,1,9,4,92,1,2,40900,2,627.857400790814,U,30,7000,3000,3000,30,7000,3000
30056209,2,53,3,2,2,2,1,1,-1,2,2,1,3,-1,2,-1,7,7,0,-1,-1,0,-1,0,0,1,30,30,-1,10:15 AM,2,2,-1,-1,-1,1,2,-1,3,2,-1,6,1,-1,-77,2,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,2,14.4199999999996,6,1,2,18.5899999999992,-9.0,53,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,4,3,7,4,CA,6,4,2,201610,1,8,2,4,2,1,4,1,9,4,92,1,2,40900,2,584.635008560583,U,30,7000,3000,3000,30,7000,3000
30056209,3,18,2,2,3,1,1,5,2,-1,-1,-1,-1,-1,-1,-1,4,4,4,4,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-1,3,2,-1,4,1,-1,-88,1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,1,2,-9.0,-9,1,2,-9.0,-9.0,18,1,4,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,4,3,7,4,CA,6,4,2,201610,1,8,2,4,2,1,4,1,9,4,92,1,2,40900,2,1005.31090757393,U,30,7000,3000,3000,30,7000,3000
30056209,4,77,2,2,4,2,1,6,2,-1,-1,-1,-1,-1,-1,-1,0,-1,4,4,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,2,4,1,-1,-1,1,-1,-77,1,4,2,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,1,3,-9.0,-9,1,2,-9.0,-9.0,77,2,4,4,4,-1,-1,-1,-1,2,2,2,2,2,2,2,4,2,4,3,7,4,CA,6,4,2,201610,1,8,2,4,2,1,4,1,9,4,92,1,2,40900,2,601.128183748035,U,30,7000,3000,3000,30,7000,3000
30176280,1,54,2,2,1,2,2,97,2,-1,-1,-1,-1,-1,-1,-1,5,2,0,-1,-1,0,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,2,-1,3,1,-1,2500,1,1,2,-1,-1,1,2,-1,-1,-1,-1,-1,-1,2,1,2,1,3,-9.0,-9,1,2,-9.0,-9.0,54,2,3,1,4,3,7,-1,-1,1,2,1,2,2,2,2,3,2,2,1,1,1,GA,13,2,0,201609,1,2,3,3,2,1,2,1,5,3,53,2,2,XXXXX,2,115.49322769331,S,80,3000,1500,1500,70,7000,3000
30176280,2,55,2,2,7,1,2,3,2,-1,-1,-1,-1,-1,-1,-1,7,7,1,1,0,2,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-1,2,3,3,-1,1,-1,-1,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,1,1,-9.0,-9,2,2,-9.0,-9.0,55,1,-1,-1,-1,-1,-1,-9,-9,-1,-1,-1,-1,-1,-1,-1,3,2,2,1,1,1,GA,13,2,0,201609,1,2,3,3,2,1,2,1,5,3,53,2,2,XXXXX,2,133.675059697356,S,80,3000,1500,1500,70,7000,3000
40307992,1,48,5,2,1,2,1,1,-1,2,2,1,3,-1,4,-1,5,4,0,-1,-1,0,-1,0,0,1,15,12,-1,08:30 AM,1,1,8,-1,-1,6,2,-1,1,3,5,-1,1,-1,13000,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,6,3.51999999999998,36,1,2,7.91999999999985,-9.0,48,2,3,1,2,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,1,2,1,7,2,NY,36,2,2,201612,1,2,2,4,2,1,3,1,2,1,22,1,2,40380,1,228.796235433025,U,70,17000,7000,5000,70,17000,7000
40307992,2,52,4,2,2,1,1,1,-1,2,1,1,-9,-1,4,-1,18,0,0,-1,-1,8,-1,0,0,-1,-1,-1,-1,01:00 PM,-1,1,-1,-1,-1,1,2,-1,1,3,5,-1,1,-1,1000,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,5,-9.0,-9,1,2,-9.0,-9.0,52,1,3,1,2,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,1,2,1,7,2,NY,36,2,2,201612,1,2,2,4,2,1,3,1,2,1,22,1,2,40380,1,269.326135027694,U,70,17000,7000,5000,70,17000,7000
