tripid,hhid,persid,tripno,starthour,startime,arrhour,arrtime,origplace1,origplace2,origpurp1,origpurp2,origlga,destplace1,destplace2,destpurp1,destpurp2,destlga,triptime,travtime,cumdist,linkmode,trippurp,duration,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,time1,time2,time3,time4,time5,time6,time7,time8,time9,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,trippoststratweight,trippoststratweight_GROUP_1,trippoststratweight_GROUP_2,trippoststratweight_GROUP_3,trippoststratweight_GROUP_4,trippoststratweight_GROUP_5,trippoststratweight_GROUP_6,trippoststratweight_GROUP_7,trippoststratweight_GROUP_8,trippoststratweight_GROUP_9,trippoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType
Y23H5360239P01T04,Y23H5360239,Y23H5360239P01,4,7,464,8,482,Accommodation,Someone Elses Home,Pick-up or Deliver Something,Something picked-up or delivered for home,Kingston (C),Personal services,Health Service,Work Related,Own Workplace,Monash (C),18,18,3.8699,Vehicle Driver,Work Related,530,Vehicle Driver,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3.07348,0.79642,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,424.445440188,400.122467167,482.390844053,442.161432513,414.684213753,0.0,519.414914135,633.594650312,426.134081475,497.638371306,446.111028088,MELB - Middle,Greater Melbourne,Weekday
Y23H5360239P01T05,Y23H5360239,Y23H5360239P01,5,16,1012,17,1038,Personal services,Health Service,Work Related,Own Workplace,Monash (C),Accommodation,Survey Home,At Home,Go home,Monash (C),26,26,8.71348,Vehicle Driver,Work Related,999,Walking,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,16,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.79642,7.91706,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,424.445440188,400.122467167,482.390844053,442.161432513,414.684213753,0.0,519.414914135,633.594650312,426.134081475,497.638371306,446.111028088,MELB - Middle,Greater Melbourne,Weekday
Y23H5360239P02T01,Y23H5360239,Y23H5360239P02,1,7,422,7,456,Accommodation,Survey Home,At Home,Go home,Monash (C),Personal services,Health Service,Work Related,Own Workplace,Yarra (C),34,34,28.41807,Vehicle Driver,Work Related,484,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,34,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,28.41807,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,435.958394428,418.410039341,546.949635596,466.597784209,372.778511982,0.0,576.612019094,619.101556451,409.293117976,484.318624727,461.791600966,MELB - Middle,Greater Melbourne,Weekday
Y23H5360239P02T02,Y23H5360239,Y23H5360239P02,2,15,940,16,988,Personal services,Health Service,Work Related,Own Workplace,Yarra (C),Place of education,Childcare,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Monash (C),48,48,26.05819,Vehicle Driver,Pick-up or Drop-off Someone,25,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,48,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,26.05819,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,435.958394428,418.410039341,546.949635596,466.597784209,372.778511982,0.0,576.612019094,619.101556451,409.293117976,484.318624727,461.791600966,MELB - Middle,Greater Melbourne,Weekday
Y23H5360239P02T03,Y23H5360239,Y23H5360239P02,3,16,1013,17,1021,Place of education,Childcare,Pick-up or Drop-off Someone,Someone picked-up or dropped-off,Monash (C),Accommodation,Survey Home,At Home,Go home,Monash (C),8,8,2.53638,Vehicle Driver,Pick-up or Drop-off Someone,999,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2.53638,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,435.958394428,418.410039341,546.949635596,466.597784209,372.778511982,0.0,576.612019094,619.101556451,409.293117976,484.318624727,461.791600966,MELB - Middle,Greater Melbourne,Weekday
Y23H5360239P03T01,Y23H5360239,Y23H5360239P03,1,6,414,7,420,Accommodation,Survey Home,At Home,Go home,Monash (C),Place of education,Childcare,Accompany Someone,Accompanied someone,Monash (C),6,6,2.53638,Vehicle Passenger,Accompany Someone,593,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2.53638,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,597.405859516,559.860366383,694.963967114,609.107660104,542.496318273,0.0,767.984676666,911.005865336,591.013915175,736.604586237,606.577140778,MELB - Middle,Greater Melbourne,Weekday
Y23H5360239P03T02,Y23H5360239,Y23H5360239P03,2,16,1013,17,1021,Place of education,Childcare,Accompany Someone,Accompanied someone,Monash (C),Accommodation,Survey Home,At Home,Go home,Monash (C),8,8,2.53638,Vehicle Passenger,Accompany Someone,999,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2.53638,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,597.405859516,559.860366383,694.963967114,609.107660104,542.496318273,0.0,767.984676666,911.005865336,591.013915175,736.604586237,606.577140778,MELB - Middle,Greater Melbourne,Weekday
Y23H5470122P01T01,Y23H5470122,Y23H5470122P01,1,9,540,9,549,Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),Retail venue,Shopping Centre,Social,Social (NEC),Greater Dandenong (C),9,9,1.46797,Bicycle,Social,111,Bicycle,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1.46797,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,462.244776292,456.939473976,588.495647249,521.929807197,0.0,644.255310892,497.586644901,488.702788737,484.182137465,432.705071662,548.580772041,MELB - Middle,Greater Melbourne,Weekday
Y23H5470122P01T02,Y23H5470122,Y23H5470122P01,2,11,660,11,669,Retail venue,Shopping Centre,Social,Social (NEC),Greater Dandenong (C),Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),9,9,1.46797,Bicycle,Social,999,Bicycle,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1.46797,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,462.244776292,456.939473976,588.495647249,521.929807197,0.0,644.255310892,497.586644901,488.702788737,484.182137465,432.705071662,548.580772041,MELB - Middle,Greater Melbourne,Weekday
Y23H5470122P02T01,Y23H5470122,Y23H5470122P02,1,8,525,9,540,Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),Retail venue,Shopping Centre,Buy Something,Bought something,Greater Dandenong (C),15,15,6.49202,Vehicle Driver,Buy Something,30,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.49202,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,606.707232199,631.883170143,812.857942364,638.396180379,0.0,730.25823638,634.935976554,688.345546106,627.009750392,664.641381815,802.997918246,MELB - Middle,Greater Melbourne,Weekday
Y23H5470122P02T02,Y23H5470122,Y23H5470122P02,2,9,570,9,585,Retail venue,Shopping Centre,Buy Something,Bought something,Greater Dandenong (C),Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),15,15,6.49202,Vehicle Driver,Buy Something,999,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.49202,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,606.707232199,631.883170143,812.857942364,638.396180379,0.0,730.25823638,634.935976554,688.345546106,627.009750392,664.641381815,802.997918246,MELB - Middle,Greater Melbourne,Weekday
Y23H5730303P01T01,Y23H5730303,Y23H5730303P01,1,7,450,8,500,Accommodation,Survey Home,At Home,Go home,Boroondara (C),Place of work,My Workplace,Work Related,Own Workplace,Knox (C),50,50,28.02839,Vehicle Driver,Work Related,520,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,50,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,28.02839,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,463.313103631,464.892368847,517.785356502,0.0,579.855267563,525.300638122,450.863267773,731.715996686,430.567938208,620.737757029,390.178987967,MELB - Inner,Greater Melbourne,Weekday
Y23H5730303P01T02,Y23H5730303,Y23H5730303P01,2,17,1020,17,1070,Place of work,My Workplace,Work Related,Own Workplace,Knox (C),Accommodation,Survey Home,At Home,Go home,Boroondara (C),50,50,28.02839,Vehicle Driver,Work Related,999,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,50,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,28.02839,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,463.313103631,464.892368847,517.785356502,0.0,579.855267563,525.300638122,450.863267773,731.715996686,430.567938208,620.737757029,390.178987967,MELB - Inner,Greater Melbourne,Weekday
Y23H5730303P02T01,Y23H5730303,Y23H5730303P02,1,8,490,8,535,Accommodation,Survey Home,At Home,Go home,Boroondara (C),Place of education,Secondary School,Education,At school,Boroondara (C),45,45,3.62378,Walking,Education,365,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3.62378,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,497.799616694,549.803953222,520.954238416,0.0,556.395820125,586.251625539,544.415360795,724.387620678,466.849494238,563.62774485,474.932969235,MELB - Inner,Greater Melbourne,Weekday
Y23H5730303P02T02,Y23H5730303,Y23H5730303P02,2,15,900,15,945,Place of education,Secondary School,Education,At school,Boroondara (C),Accommodation,Survey Home,At Home,Go home,Boroondara (C),45,45,3.62378,Walking,Education,999,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,45,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3.62378,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,497.799616694,549.803953222,520.954238416,0.0,556.395820125,586.251625539,544.415360795,724.387620678,466.849494238,563.62774485,474.932969235,MELB - Inner,Greater Melbourne,Weekday
Y23H5730303P03T01,Y23H5730303,Y23H5730303P03,1,8,530,8,535,Accommodation,Survey Home,At Home,Go home,Boroondara (C),Place of education,Primary School,Education,At school,Boroondara (C),5,5,0.75878,Bicycle,Education,370,Bicycle,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.75878,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,518.863996332,518.735470555,535.507540103,0.0,581.601678246,606.471095785,563.164576279,962.759984942,522.660040205,612.235271131,448.075840329,MELB - Inner,Greater Melbourne,Weekday
Y23H5730303P03T02,Y23H5730303,Y23H5730303P03,2,15,905,15,910,Place of education,Primary School,Education,At school,Boroondara (C),Accommodation,Survey Home,At Home,Go home,Boroondara (C),5,5,0.75878,Bicycle,Education,999,Bicycle,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.75878,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,518.863996332,518.735470555,535.507540103,0.0,581.601678246,606.471095785,563.164576279,962.759984942,522.660040205,612.235271131,448.075840329,MELB - Inner,Greater Melbourne,Weekday
