persid,hhid,persno,travdow,agegroup,sex,relationship,carlicence,mbikelicence,otherlicence,nolicence,fulltimework,parttimework,casualwork,anywork,studying,activities,mainact,emptype,anzsco1,anzsco2,anzsic1,anzsic2,startplace,numstops,persinc,anywfh,wfhmon,wfhtue,wfhwed,wfhthu,wfhfri,wfhsat,wfhsun,wfhtravday,faretype,anytoll,anyvehwalk,anypaidpark,perspoststratweight,perspoststratweight_GROUP_1,perspoststratweight_GROUP_2,perspoststratweight_GROUP_3,perspoststratweight_GROUP_4,perspoststratweight_GROUP_5,perspoststratweight_GROUP_6,perspoststratweight_GROUP_7,perspoststratweight_GROUP_8,perspoststratweight_GROUP_9,perspoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType
Y23H5340507P01,Y23H5340507,1,Sunday,55->59,Male,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Machinery Operators and Drivers,Road and Rail Drivers,Transport Postal and Warehousing,Postal and Courier Pick-up and Delivery Services,At Home,3,"$2,000-$2,999 ($104,000-$155,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,523.745839879,529.655410393,666.515167072,541.871027681,526.222880256,549.194080065,617.139073813,601.780813512,0.0,505.168855584,693.789998506,MELB - Outer,Greater Melbourne,Weekend
Y23H5340507P02,Y23H5340507,2,Sunday,45->49,Female,Spouse,No Car Licence,No,No,Yes,No,No,No,No,No Study,Keeping House,Keeping House,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,3,Nil income,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,No,No,616.529870088,625.758648832,856.902764013,642.607551611,658.201498504,625.890576504,619.864978347,730.325932103,0.0,764.310063621,624.842847633,MELB - Outer,Greater Melbourne,Weekend
Y23H5340507P03,Y23H5340507,3,Sunday,20->24,Male,Child,Learners Permit,No,No,No,No,No,Yes,Yes,Full-time TAFE/Uni,No other activity,Full-time TAFE/Uni,Paid Employee,Clerical and Administrative Workers,Clerical and Office Support Workers,Retail Trade,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,At Home,3,Nil income,Yes,Yes,Yes,Yes,No,No,No,No,No,Not applicable,No,No,No,503.578025473,502.030357941,677.224206692,600.95521704,532.906575335,518.182006231,599.663972009,543.100202969,0.0,470.607445195,532.912887172,MELB - Outer,Greater Melbourne,Weekend
Y23H5360239P01,Y23H5360239,1,Thursday,35->39,Male,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Professionals,Health Professionals,Health Care and Social Assistance,Medical and Other Health Care Services,At Home,7,"$1,750-$1,999 ($91,000-$103,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,Yes,Yes,384.195208827,360.702838415,436.428736154,406.353742438,372.97776915,0.0,459.434236182,565.033382075,390.618341513,451.854903173,401.970399675,MELB - Middle,Greater Melbourne,Weekday
Y23H5360239P02,Y23H5360239,2,Thursday,30->34,Female,Spouse,Full Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Paid Employee,Professionals,Health Professionals,Health Care and Social Assistance,Medical and Other Health Care Services,At Home,3,"$1,500-$1,749 ($78,000-$90,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,Yes,435.958394428,418.410039341,546.949635596,466.597784209,372.778511982,0.0,576.612019094,619.101556451,409.293117976,484.318624727,461.791600966,MELB - Middle,Greater Melbourne,Weekday
Y23H5360239P03,Y23H5360239,3,Thursday,0->4,Male,Child,No Car Licence,No,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,No Study,Not Yet at School,Not Yet at School,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,Not applicable,2,Nil income,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,597.405859516,559.860366383,694.963967114,609.107660104,542.496318273,0.0,767.984676666,911.005865336,591.013915175,736.604586237,606.577140778,MELB - Middle,Greater Melbourne,Weekday
Y23H5470122P01,Y23H5470122,1,Monday,95->99,Male,Self,Full Licence,No,No,No,No,No,No,No,No Study,Retired,Retired,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,2,"$150-$299 ($7,800-$15,599)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,424.466661418,423.525763875,540.038410111,484.541192323,0.0,587.571988003,455.114413245,446.383528113,448.035218883,394.91308858,506.235310584,MELB - Middle,Greater Melbourne,Weekday
Y23H5470122P02,Y23H5470122,2,Monday,55->59,Male,Child,Full Licence,No,No,No,No,No,No,No,No Study,Other,Other,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,2,"$150-$299 ($7,800-$15,599)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,No,Yes,Yes,606.707232199,631.883170143,812.857942364,638.396180379,0.0,730.25823638,634.935976554,688.345546106,627.009750392,664.641381815,802.997918246,MELB - Middle,Greater Melbourne,Weekday
Y23H5730303P01,Y23H5730303,1,Wednesday,60->64,Male,Self,Full Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Paid Employee,Professionals,Health Professionals,Health Care and Social Assistance,Medical and Other Health Care Services,At Home,2,"$1,000-$1,249 ($52,000-$64,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,Yes,441.232338082,442.296103454,492.616198791,0.0,553.013844023,499.884728226,429.20272781,696.213873364,410.290921492,593.344345541,376.241449946,MELB - Inner,Greater Melbourne,Weekday
Y23H5730303P02,Y23H5730303,2,Wednesday,10->14,Male,Child,No Car Licence,No,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Secondary,No other activity,Secondary School,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,2,Nil income,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,448.598957321,504.384201744,468.997997147,0.0,496.034130468,528.563506461,490.213228693,651.583633068,422.047417309,502.348489169,430.504316087,MELB - Inner,Greater Melbourne,Weekday
