thid,tpid,ttid,tidp,tidn,tyearid,tstagesn,thaboro,thiwt,tpiwt,thiwtwkd,tpiwtwkd,thiwtttwkd,tpiwtttwkd,tt1fhm,twalkatw,tcycatw,tppw,tcmode,tsdaddr,tshour,tehour,totimea,tunder5,thover5,tnhover5,tshop,twork,tbulknone,tbulkpc,tbulkscr,tbulkcom,tbulkshop,tbulkspo,tbulkwork,tbulkoth,tabtyoung,tabtoth,tabtnone,tpassn,tpktype,tbcychre,tcycshw,tociox,tocioxb,tosect,toaboro,tofarezn,toccz,tdciox,tdcioxb,tdaboro,tdfarezn,tdccz,todcioxba1,todcioxba2,tdur5,tlen,tspeed5,tleavemon,tleavetue,tleavewed,tleavethu,tleavefri,tleavesat,tleavesun,tjpurp,tdpurp,tdbmmode1,topurp
900003,800008,222252910102,222252910101,222252910103,22,1,5,283.0818897189592,395.914843881178,398.1291032828286,632.0034553199598,576.3296595732904,855.3429688560727,-1,1,2,0,16,4,13,13,3,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,5,0,0,2,2,5,0,0,2,8,5,0.40000001,5,0,0,0,0,0,0,0,06 Other (inc Escort/ Worship),06 Other (inc Escort/ Worship),09 Walk,01 Usual workplace
900003,800008,222252910103,222252910102,222252910104,22,1,5,283.0818897189592,395.914843881178,398.1291032828286,632.0034553199598,576.3296595732904,855.3429688560727,-1,1,2,0,16,3,14,14,3,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,5,0,0,2,2,5,0,0,2,8,5,0.40000001,5,0,0,0,0,0,0,0,01 Usual workplace,01 Usual workplace,09 Walk,06 Other (inc Escort/ Worship)
900003,800008,222252910104,222252910103,222252910105,22,1,5,283.0818897189592,395.914843881178,398.1291032828286,632.0034553199598,576.3296595732904,855.3429688560727,-1,2,2,1,13,1,15,15,3,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,1,7,-1,-1,2,2,3,5,0,0,2,2,5,0,0,2,8,5,1.0,10,0,0,0,0,0,0,0,01 Usual workplace,07 Home,05 Car (+van/lorry) driver,01 Usual workplace
900003,800008,222252910106,222252910105,222252910107,22,1,5,283.0818897189592,395.914843881178,398.1291032828286,632.0034553199598,576.3296595732904,855.3429688560727,-1,1,2,0,16,1,15,15,3,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,5,0,0,2,2,5,0,0,2,8,10,0.1,0,0,0,0,0,0,0,0,06 Other (inc Escort/ Worship),07 Home,09 Walk,06 Other (inc Escort/ Worship)
900003,800008,222252910107,222252910106,222252910108,22,1,5,283.0818897189592,395.914843881178,398.1291032828286,632.0034553199598,576.3296595732904,855.3429688560727,-1,2,2,1,13,4,17,17,4,0,3,0,2,2,1,2,2,2,2,2,2,2,2,2,1,4,8,-1,-1,2,2,3,5,0,0,2,2,5,0,0,2,8,10,0.89999998,5,0,0,0,0,0,0,0,05 Leisure,05 Leisure,05 Car (+van/lorry) driver,07 Home
900003,800008,222252910108,222252910107,-1,22,1,5,283.0818897189592,395.914843881178,398.1291032828286,632.0034553199598,576.3296595732904,855.3429688560727,-1,2,2,1,13,1,19,19,5,0,3,0,2,2,1,2,2,2,2,2,2,2,2,2,1,4,7,-1,-1,2,2,3,5,0,0,2,2,5,0,0,2,8,10,0.89999998,5,0,0,0,0,0,0,0,05 Leisure,07 Home,05 Car (+van/lorry) driver,05 Leisure
900003,800009,222252910201,-1,222252910202,22,1,5,283.0818897189592,280.8820776524207,398.1291032828286,384.6439495124753,576.3296595732904,534.171469225518,1,1,2,0,16,4,8,8,2,0,1,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,5,0,0,2,2,5,0,0,2,8,0,0.1,0,0,0,0,0,0,0,0,06 Other (inc Escort/ Worship),06 Other (inc Escort/ Worship),09 Walk,07 Home
900003,800009,222252910203,222252910202,-1,22,3,5,283.0818897189592,280.8820776524207,398.1291032828286,384.6439495124753,576.3296595732904,534.171469225518,-1,2,2,2,8,1,18,19,4,0,0,0,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,3,0,0,2,2,5,0,0,2,8,75,7.0,5,0,0,0,0,0,0,0,02 Other work related,07 Home,02 Underground/ DLR,02 Other work related
900003,800010,222252910301,-1,222252910302,22,2,5,283.0818897189592,354.5993072272907,398.1291032828286,469.0113907839257,576.3296595732904,680.8984745766935,1,2,2,2,10,2,7,8,2,0,0,0,2,2,2,2,1,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,5,0,0,2,2,5,0,0,2,8,40,4.0,5,0,0,0,0,0,0,0,03 Education,03 Education,03 Bus (+sch/ wk bus/coach & tram),07 Home
900003,800010,222252910302,222252910301,222252910303,22,2,5,283.0818897189592,354.5993072272907,398.1291032828286,469.0113907839257,576.3296595732904,680.8984745766935,-1,2,2,2,11,1,15,16,3,0,0,0,2,2,2,2,1,2,2,2,2,2,2,2,1,-1,-1,-1,-1,2,2,3,5,0,0,2,2,5,0,0,2,8,70,4.0,0,0,0,0,0,0,0,0,03 Education,07 Home,03 Bus (+sch/ wk bus/coach & tram),03 Education
