shid,spid,stid,ssid,sidp,sidn,syearid,spidno,stseqno,sseqno,shaboro,shiwt,spiwt,shiwtwkd,spiwtwkd,shiwtttwkd,spiwtttwkd,spiwtlul,smode,samode,semode,swalkdur,sbchs,sinttype,srdsht,srdshtp,srsdiffmode,sociox,socioxb,sosect,soaboro,sofarezn,soccz,sdciox,sdcioxb,sdsect,sdaboro,sdfarezn,sdccz,sodcioxba1,sodcioxba2,slenn,slen100m,sdur5,sspeed5,staxib
22225291,800010,222252910303,22225291030301,-1,-1,22,3,3,1,5,283.0818897189592,354.5993072272907,398.1291032828286,469.0113907839257,576.3296595732904,680.8984745766935,0,4,-1,-1,-1,-1,11,-1,-1,-1,2,2,3,5,0,0,2,2,3,5,0,0,2,8,0.92900002,0.89999998,10,5,-1
22225291,800010,222252910304,22225291030401,-1,-1,22,3,4,1,5,283.0818897189592,354.5993072272907,398.1291032828286,469.0113907839257,576.3296595732904,680.8984745766935,0,4,-1,-1,-1,-1,11,-1,-1,-1,2,2,3,5,0,0,2,2,3,5,0,0,2,8,0.92900002,0.89999998,10,5,-1
22225291,800011,222252910403,22225291040301,-1,-1,22,4,3,1,5,283.0818897189592,320.9907490760419,398.1291032828286,420.276369406844,576.3296595732904,519.4651213500523,0,4,-1,-1,-1,-1,11,-1,-1,-1,2,2,3,5,0,0,2,2,3,5,0,0,2,8,0.92900002,0.89999998,10,5,-1
22225291,800011,222252910404,22225291040401,-1,-1,22,4,4,1,5,283.0818897189592,320.9907490760419,398.1291032828286,420.276369406844,576.3296595732904,519.4651213500523,0,4,-1,-1,-1,-1,11,-1,-1,-1,2,2,3,5,0,0,2,2,3,5,0,0,2,8,0.92900002,0.89999998,10,5,-1
22225291,800012,222252910503,22225291050301,-1,-1,22,5,3,1,5,283.0818897189592,227.6158203411302,398.1291032828286,267.1375614964848,576.3296595732904,389.6940614961417,0,4,-1,-1,-1,-1,11,-1,-1,-1,2,2,3,5,0,0,2,2,3,5,0,0,2,8,0.92900002,0.89999998,10,5,-1
22225291,800012,222252910504,22225291050401,-1,-1,22,5,4,1,5,283.0818897189592,227.6158203411302,398.1291032828286,267.1375614964848,576.3296595732904,389.6940614961417,0,4,-1,-1,-1,-1,11,-1,-1,-1,2,2,3,5,0,0,2,2,3,5,0,0,2,8,0.92900002,0.89999998,10,5,-1
22210071,800005,222100710201,22210071020101,-1,-1,22,2,1,1,4,503.2361409442344,520.6192097708343,660.6605311803039,594.2732428035657,0.0,0.0,0,1,-1,-1,10,-1,11,-1,-1,-1,2,2,3,3,0,0,2,2,3,3,0,0,2,8,1.17,1.1,10,5,-1
22210071,800006,222100710301,22210071030101,-1,-1,22,3,1,1,4,503.2361409442344,520.6192097708343,660.6605311803039,594.2732428035657,0.0,0.0,0,1,-1,-1,10,-1,11,-1,-1,-1,2,2,3,3,0,0,2,2,3,3,0,0,2,8,1.17,1.1,10,5,-1
22225291,800010,222252910302,22225291030204,22225291030203,22225291030205,22,3,2,4,5,283.0818897189592,354.5993072272907,398.1291032828286,469.0113907839257,576.3296595732904,680.8984745766935,0,13,1,1,-1,-1,2,-1,-1,-1,2,2,3,5,0,0,2,2,3,5,0,0,2,8,1.138,1.1,10,5,-1
22225291,800010,222252910302,22225291030202,22225291030201,22225291030203,22,3,2,2,5,283.0818897189592,354.5993072272907,398.1291032828286,469.0113907839257,576.3296595732904,680.8984745766935,0,13,1,1,-1,-1,2,-1,-1,-1,2,2,3,5,0,0,2,2,3,5,0,0,2,8,2.6730001,2.5999999,30,5,-1
22225291,800011,222252910402,22225291040202,22225291040201,22225291040203,22,4,2,2,5,283.0818897189592,320.9907490760419,398.1291032828286,420.276369406844,576.3296595732904,519.4651213500523,0,13,1,1,-1,-1,2,-1,-1,-1,2,2,3,5,0,0,2,2,3,5,0,0,2,8,1.072,1.0,10,0,-1
22210071,800005,222100710202,22210071020201,-1,22210071020202,22,2,2,1,4,503.2361409442344,520.6192097708343,660.6605311803039,594.2732428035657,0.0,0.0,0,1,-1,24,15,-1,12,-1,-1,-1,2,2,3,3,0,0,2,2,3,3,0,0,2,8,0.87,0.80000001,15,0,-1
22210071,800006,222100710302,22210071030201,-1,22210071030202,22,3,2,1,4,503.2361409442344,520.6192097708343,660.6605311803039,594.2732428035657,0.0,0.0,0,1,-1,24,15,-1,12,-1,-1,-1,2,2,3,3,0,0,2,2,3,3,0,0,2,8,0.87,0.80000001,15,0,-1
22225291,800011,222252910402,22225291040203,22225291040202,-1,22,4,2,3,5,283.0818897189592,320.9907490760419,398.1291032828286,420.276369406844,576.3296595732904,519.4651213500523,0,1,13,-1,15,-1,11,-1,-1,-1,2,2,3,5,0,0,2,2,3,5,0,0,2,8,0.80800003,0.80000001,25,0,-1
22187041,800003,221870410301,22187041030101,-1,-1,22,3,1,1,3,636.8226380965693,664.2059026878923,0.0,0.0,0.0,0.0,0,1,-1,-1,7,-1,11,-1,-1,-1,2,2,3,3,0,0,2,2,3,3,0,0,2,8,0.685,0.60000002,5,5,-1
22187041,800003,221870410303,22187041030301,-1,-1,22,3,3,1,3,636.8226380965693,664.2059026878923,0.0,0.0,0.0,0.0,0,1,-1,-1,7,-1,11,-1,-1,-1,2,2,3,3,0,0,2,2,3,3,0,0,2,8,0.685,0.60000002,5,5,-1
22225291,800010,222252910302,22225291030201,-1,22225291030202,22,3,2,1,5,283.0818897189592,354.5993072272907,398.1291032828286,469.0113907839257,576.3296595732904,680.8984745766935,0,1,-1,13,12,-1,2,-1,-1,-1,2,2,3,5,0,0,2,2,3,5,0,0,2,8,0.68400002,0.60000002,20,0,-1
