TRIPID,HHID,PERSID,STARTSTOP,ENDSTOP,STARTIME,ORIGPLACE,ORIGPURP,ORIGSA1_2021,DESTPLACE,DESTPURP,DESTSA1_2021,MAINMODE,MODE1,MODE2,MODE3,MODE4,MODE5,MODE6,MODE7,MODE8,ARRTIME,DURATION,TRAVTIME,CUMDIST,OVERALL_PURPOSE,TRIPWGT24
1419731000004,141973,141973/1000,4,4,554,My workplace,Work (my workplace),30501111001,"Restaurant, caf̩, or food outlet",Eat/drink,30302105812,Walking,Walking,,,,,,,,557,2,3,0.62,Shopping,79.775688
1419731000005,141973,141973/1000,5,5,559,"Restaurant, caf̩, or food outlet",Eat/drink,30302105812,My workplace,Work (my workplace),30501111001,Walking,Walking,,,,,,,,563,203,4,0.62,Work Related,79.775688
1419731001001,141973,141973/1001,1,1,752,My home,At Home,30102101241,My home,Recreation/leisure activity,30102101241,Walking,Walking,,,,,,,,787,,35,0.0,Recreation,78.213715
1431841000001,143184,143184/1000,1,1,180,My home,At Home,30102100916,My workplace,Work (my workplace),31106133416,Car driver,Car driver,,,,,,,,240,420,60,23.92,Direct Work Commute,106.64462
1431841000002,143184,143184/1000,2,2,660,My workplace,Work (my workplace),31106133416,Shop or supermarket,Shopping,31105132414,Car driver,Car driver,,,,,,,,675,10,15,8.86,Shopping,106.64462
1431841000003,143184,143184/1000,3,3,685,Shop or supermarket,Shopping,31105132414,My home,Go home,30102100916,Car driver,Car driver,,,,,,,,705,45,20,15.0,Shopping,106.64462
1431841000004,143184,143184/1000,4,4,750,My home,Go home,30102100916,Other place (please specify),Just accompanying someone,30102100728,Car driver,Car driver,,,,,,,,780,60,30,14.16,Accompany Someone,106.64462
1431841000005,143184,143184/1000,5,5,840,Other place (please specify),Just accompanying someone,30102100728,"Restaurant, caf̩, or food outlet",Eat/drink,30102101303,Car driver,Car driver,,,,,,,,855,15,15,6.45,Shopping,106.64462
1431841000006,143184,143184/1000,6,6,870,"Restaurant, caf̩, or food outlet",Eat/drink,30102101303,My home,Go home,30102100916,Car driver,Car driver,,,,,,,,885,105,15,7.86,Shopping,106.64462
1431841000007,143184,143184/1000,7,7,990,My home,Go home,30102100916,Other place (please specify),Just accompanying someone,30101100433,Car driver,Car driver,,,,,,,,1020,60,30,18.87,Accompany Someone,106.64462
1431841000008,143184,143184/1000,8,8,1080,Other place (please specify),Just accompanying someone,30101100433,My home,Go home,30102100916,Car driver,Car driver,,,,,,,,1100,,20,18.7,Accompany Someone,106.64462
1431841001001,143184,143184/1001,1,1,660,My home,At Home,30102100916,Other work-related place,Work (other work reason),30903123510,Car driver,Car driver,,,,,,,,735,15,75,54.62,Work Related,100.65844
1431841001002,143184,143184/1001,2,2,750,Other work-related place,Work (other work reason),30903123510,My home,Go home,30102100916,Car driver,Car driver,,,,,,,,840,,90,54.74,Work Related,100.65844
1431841002001,143184,143184/1002,1,1,210,My home,At Home,30102100916,Primary or secondary school,Education,31105132403,Car driver,Car driver,,,,,,,,240,420,30,14.77,Education,121.7395
1431841002002,143184,143184/1002,2,2,660,Primary or secondary school,Education,31105132403,My home,Go home,30102100916,Car driver,Car driver,,,,,,,,690,150,30,14.75,Education,121.7395
1431841002003,143184,143184/1002,3,3,840,My home,Go home,30102100916,Other place (please specify),Recreation/leisure activity,31102130909,Car driver,Car driver,,,,,,,,870,60,30,23.58,Recreation,121.7395
1431841002004,143184,143184/1002,4,4,930,Other place (please specify),Recreation/leisure activity,31102130909,"Restaurant, caf̩, or food outlet",Eat/drink,31105132526,Car driver,Car driver,,,,,,,,945,15,15,8.41,Shopping,121.7395
1431841002005,143184,143184/1002,5,5,960,"Restaurant, caf̩, or food outlet",Eat/drink,31105132526,Someone else's home,Social Visit,31106132906,Car driver,Car driver,,,,,,,,975,300,15,4.81,Social,121.7395
1431841002006,143184,143184/1002,6,6,1275,Someone else's home,Social Visit,31106132906,Someone else's home,Social Visit,31105132514,Car passenger,Car passenger,,,,,,,,1290,,15,7.56,Social,121.7395
1431841003001,143184,143184/1003,1,1,210,My home,At Home,30102100916,Primary or secondary school,Education,31105132403,Car passenger,Car passenger,,,,,,,,240,420,30,14.77,Education,111.68714
1431841003002,143184,143184/1003,2,2,660,Primary or secondary school,Education,31105132403,My home,Go home,30102100916,Car passenger,Car passenger,,,,,,,,690,300,30,14.75,Education,111.68714
1431841003003,143184,143184/1003,3,3,990,My home,Go home,30102100916,Other place (please specify),Recreation/leisure activity,30101100433,Car passenger,Car passenger,,,,,,,,1020,60,30,18.87,Recreation,111.68714
1431841003004,143184,143184/1003,4,4,1080,Other place (please specify),Recreation/leisure activity,30101100433,My home,Go home,30102100916,Car passenger,Car passenger,,,,,,,,1100,,20,18.7,Recreation,111.68714
1431841004001,143184,143184/1004,1,1,255,My home,At Home,30102100916,Primary or secondary school,Education,30102100939,Car passenger,Car passenger,,,,,,,,270,390,15,3.62,Education,111.68714
1431841004005,143184,143184/1004,5,5,750,My home,Go home,30102100916,Other place (please specify),Recreation/leisure activity,30102100728,Car passenger,Car passenger,,,,,,,,780,60,30,14.16,Recreation,111.68714
1431841004006,143184,143184/1004,6,6,840,Other place (please specify),Recreation/leisure activity,30102100728,"Restaurant, caf̩, or food outlet",Eat/drink,30102101303,Car passenger,Car passenger,,,,,,,,855,15,15,6.45,Shopping,111.68714
1431841004007,143184,143184/1004,7,7,870,"Restaurant, caf̩, or food outlet",Eat/drink,30102101303,My home,Go home,30102100916,Car passenger,Car passenger,,,,,,,,885,,15,7.86,Shopping,111.68714
1438041000001,143804,143804/1000,1,1,60,My home,At Home,30907125214,My workplace,Work (my workplace),30907155205,Car driver,Car driver,,,,,,,,85,605,25,22.47,Direct Work Commute,148.03867
